Title Number,Question Number,Title,Question,Choice1,Choice2,Choice3,Choice4,Answer,Image Filename
6,26,Resistance,A 5 ohm and a 10 ohm resistor are wired in series and connected to a 15 volt power supply. The current flowing from the power supply is:,0.5 ampere,1 ampere,2 ampere,15 ampere,1,
6,27,Resistance,Three 12 ohm resistors are wired in parallel and connected to an 8 volt supply. The total current flow from the supply is:,1 ampere,2 amperes,3 amperes,4.5 amperes,1,
6,28,Resistance,"Two 33 ohm resistors are connected in series with a power supply. If the current flowing is 100 mA, the voltage across one of the resistors is:",66 volt,33 volt,3.3 volt,1 volt,2,
6,29,Resistance,A simple transmitter requires a 50 ohm dummy load. You can fabricate this from:,four 300 ohm resistors in parallel,five 300 ohm resistors in parallel,six 300 ohm resistors in parallel,seven 300 ohm resistors in parallel,2,
6,30,Resistance,Three 500 ohm resistors are wired in series. Short-circuiting the centre resistor will change the value of the network from:,1500 ohm to 1000 ohm,500 ohm to 1000 ohm,1000 ohm to 500 ohm,1000 ohm to 1500 ohm,0,
7,1,Power calculations,A transmitter power amplifier requires 30 mA at 300 volt. The DC input power is:,300 watt,9000 watt,9 watt,6 watt,2,
7,2,Power calculations,The DC input power of a transmitter operating at 12 volt and drawing 500 milliamp would be:,6 watt,12 watt,20 watt,500 watt,0,
7,3,Power calculations,"When two 500 ohm 1 watt resistors are connected in series, the maximum total power that can be dissipated by both resistors is:",4 watt,2 watt,1 watt,1/2 watt,1,
7,4,Power calculations,"When two 1000 ohm 5 watt resistors are connected in parallel, they can dissipate a maximum total power of:",40 watt,20 watt,10 watt,5 watt,2,
7,5,Power calculations,The current in a 100 kilohm resistor is 10 mA. The power dissipated is:,1 watt,10 watt,100 watt,"10,000 watt",1,
7,6,Power calculations,A current of 500 milliamp passes through a 1000 ohm resistance. The power dissipated is:,0.25 watt,2.5 watt,25 watt,250 watt,3,
7,7,Power calculations,A 20 ohm resistor carries a current of 0.25 ampere. The power dissipated is:,1.25 watt,5 watt,2.50 watt,10 watt,0,
7,8,Power calculations,"If 200 volt is applied to a 2000 ohm resistor, the resistor will dissipate:",20 watt,30 watt,10 watt,40 watt,0,
7,9,Power calculations,The power delivered to an antenna is 500 watt. The effective antenna resistance is 20 ohm. The antenna current is:,25 amp,2.5 amp,10 amp,5 amp,3,
7,10,Power calculations,The unit for power is the:,ohm,watt,ampere,volt,1,
7,11,Power calculations,The following two quantities should be multiplied together to find power:,resistance and capacitance,voltage and current,voltage and inductance,inductance and capacitance,1,
7,12,Power calculations,"The following two electrical units multiplied together give the unit ""watt"":",volt and ampere,volt and farad,farad and henry,ampere and henry,0,
7,13,Power calculations,The power dissipation of a resistor carrying a current of 10 mA with 10 volt across it is:,0.01 watt,0.1 watt,1 watt,10 watt,1,
7,14,Power calculations,"If two 10 ohm resistors are connected in series with a 10 volt battery, the battery load is:",5 watt,10 watt,20 watt,100 watt,0,
7,15,Power calculations,"Each of 9 resistors in a circuit is dissipating 4 watt. If the circuit operates from a 12 volt supply, the total current flowing in the circuit is:",48 ampere,36 ampere,9 ampere,3 ampere,3,
7,16,Power calculations,Three 18 ohm resistors are connected in parallel across a 12 volt supply. The total power dissipation of the resistor load is:,3 watt,18 watt,24 watt,36 watt,2,
7,17,Power calculations,A resistor of 10 kilohm carries a current of 20 mA. The power dissipated in the resistor is:,2 watt,4 watt,20 watt,40 watt,1,
7,18,Power calculations,A resistor in a circuit becomes very hot and starts to burn. This is because the resistor is dissipating too much:,current,voltage,resistance,power,3,
7,19,Power calculations,A current of 10 ampere rms at a frequency of 50 Hz flows through a 100 ohm resistor. The power dissipated is:,500 watt,707 watt,"10,000 watt","50,000 watt",2,
7,20,Power calculations,The voltage applied to two resistors in series is doubled. The total power dissipated will:,increase by four times,decrease to half,double,not change,0,
8,1,Alternating Current,An 'alternating current' is so called because:,it reverses direction periodically,it travels through a circuit using alternate paths,its direction of travel is uncertain,its direction of travel can be altered by a switch,0,
8,2,Alternating Current,The time for one cycle of a 100 Hz signal is:,1 second,0.01 second,0.0001 second,10 seconds,1,
8,3,Alternating Current,A 50 hertz current in a wire means that:,a potential difference of 50 volts exists across the wire,the current flowing in the wire is 50 amperes,the power dissipated in the wire is 50 watts,a cycle is completed 50 times in each second,3,
8,4,Alternating Current,The current in an AC circuit completes a cycle in 0.1 second. So the frequency is:,1 Hz,10 Hz,100 Hz,1000 Hz,1,
8,5,Alternating Current,An impure signal is found to have 2 kHz and 4 kHz components. This 4 kHz signal is:,a fundamental of the 2 kHz signal,a sub-harmonic of 2 kHz,the DC component of the main signal,a harmonic of the 2 kHz signal,3,
8,6,Alternating Current,The correct name for the equivalent of 'one cycle per second' is one:,henry,volt,hertz,coulomb,2,
8,7,Alternating Current,One megahertz is equal to:,0.0001 Hz,100 kHz,1000 kHz,10 Hz,2,
8,8,Alternating Current,One GHz is equal to:,1000 kHz,10 MHz,100 MHz,1000 MHz,3,
8,9,Alternating Current,The 'rms value' of a sine-wave signal is:,half the peak voltage,1.414 times the peak voltage,the peak-to-peak voltage,0.707 times the peak voltage,3,
8,10,Alternating Current,A sine-wave alternating current of 10 ampere peak has an rms value of:,5 amp,7.07 amp,14.14 amp,20 amp,1,
9,1,"Capacitors, Inductors, Resonance",The total capacitance of two or more capacitors in series is:,always less than that of the smallest capacitor,always greater than that of the largest capacitor,found by adding each of the capacitances together,found by adding the capacitances together and dividing by their total number,0,
9,2,"Capacitors, Inductors, Resonance",Filter capacitors in power supplies are sometimes connected in series to:,withstand a greater voltage than a single capacitor can withstand,increase the total capacity,reduce the ripple voltage further,resonate the filter circuit,0,
9,3,"Capacitors, Inductors, Resonance",A component is identified as a capacitor if its value is measured in:,microvolts,millihenrys,megohms,microfarads,3,
9,4,"Capacitors, Inductors, Resonance",Two metal plates separated by air form a 0.001 uF capacitor. Its value may be changed to 0.002 uF by:,bringing the metal plates closer together,making the plates smaller in size,moving the plates apart,touching the two plates together,0,
9,5,"Capacitors, Inductors, Resonance",The material separating the plates of a capacitor is the:,dielectric,semiconductor,resistor,lamination,0,
9,6,"Capacitors, Inductors, Resonance",Three 15 picofarad capacitors are wired in parallel. The value of the combination is:,45 picofarad,18 picofarad,12 picofarad,5 picofarad,0,
9,7,"Capacitors, Inductors, Resonance",Capacitors and inductors oppose an alternating current. This is known as:,resistance,resonance,conductance,reactance,3,
9,8,"Capacitors, Inductors, Resonance",The reactance of a capacitor increases as the:,frequency increases,frequency decreases,applied voltage increases,applied voltage decreases,1,
9,9,"Capacitors, Inductors, Resonance",The reactance of an inductor increases as the:,frequency increases,frequency decreases,applied voltage increases,applied voltage decreases,0,
9,10,"Capacitors, Inductors, Resonance",Increasing the number of turns on an inductor will make its inductance:,decrease,increase,remain unchanged,become resistive,1,
9,11,"Capacitors, Inductors, Resonance",The unit of inductance is the:,farad,henry,ohm,reactance,1,
9,12,"Capacitors, Inductors, Resonance",Two 20 uH inductances are connected in series. The total inductance is:,10 uH,20 uH,40 uH,80 uH,2,
9,13,"Capacitors, Inductors, Resonance",Two 20 uH inductances are connected in parallel. The total inductance is:,10 uH,20 uH,40 uH,80 uH,0,
9,14,"Capacitors, Inductors, Resonance",A toroidal inductor is one in which the:,windings are wound on a closed ring of magnetic material,windings are air-spaced,windings are wound on a ferrite rod,inductor is enclosed in a magnetic shield,0,
9,15,"Capacitors, Inductors, Resonance",A transformer with 100 turns on the primary winding and 10 turns on the secondary winding is connected to 230 volt AC mains. The voltage across the secondary is:,10 volt,23 volt,110 volt,2300 volt,1,
9,16,"Capacitors, Inductors, Resonance",An inductor and a capacitor are connected in series. At the resonant frequency the resulting impedance is:,maximum,minimum,totally reactive,totally inductive,1,
9,17,"Capacitors, Inductors, Resonance",An inductor and a capacitor are connected in parallel. At the resonant frequency the resulting impedance is:,maximum,minimum,totally reactive,totally inductive,0,
9,18,"Capacitors, Inductors, Resonance",An inductor and a capacitor form a resonant circuit. The capacitor value is increased by four times. The resonant frequency will:,increase by four times,double,decrease to half,decrease to one quarter,2,
9,19,"Capacitors, Inductors, Resonance","An inductor and a capacitor form a resonant circuit. If the value of the inductor is decreased by a factor of four, the resonant frequency will:",increase by a factor of four,increase by a factor of two,decrease by a factor of two,decrease by a factor of four,1,
9,20,"Capacitors, Inductors, Resonance","A ""high Q"" resonant circuit is one which:",carries a high quiescent current,is highly selective,has a wide bandwidth,uses a high value inductance,1,
10,1,Safety,You can safely remove an unconscious person from contact with a high voltage source by:,pulling an arm or a leg,wrapping the person in a blanket and pulling to a safe area,calling an electrician,turning off the high voltage and then removing the person,3,
10,2,Safety,"For your safety, before checking a fault in a mains operated power supply unit, first:",short the leads of the filter capacitor,turn off the power and remove the power plug,check the action of the capacitor bleeder resistance,remove and check the fuse in the power supply,1,
10,3,Safety,Wires carrying high voltages in a transmitter should be well insulated to avoid:,short circuits,overheating,over modulation,SWR effects,0,
10,4,Safety,A residual current device is recommended for protection in a mains power circuit because it:,reduces electrical interference from the circuit,removes power to the circuit when the phase and neutral currents are not equal,removes power to the circuit when the current in the phase wire equals the current in the earth wire,limits the power provided to the circuit,1,
10,5,Safety,"An earth wire should be connected to the metal chassis of a mains-operated power supply to ensure that if a fault develops, the chassis:",does not develop a high voltage with respect to earth,does not develop a high voltage with respect to the phase lead,becomes a conductor to bleed away static charge,provides a path to ground in case of lightning strikes,0,
10,6,Safety,The purpose of using three wires in the mains power cord and plug on amateur radio equipment is to:,make it inconvenient to use,prevent the chassis from becoming live in case of an internal short to the chassis,prevent the plug from being reversed in the wall outlet,prevent short circuits,1,
10,7,Safety,The correct colour coding for the phase wire in a flexible mains lead is:,brown,blue,yellow and green,white,0,
10,8,Safety,The correct colour coding for the neutral wire in a flexible mains lead is:,brown,blue,yellow and green,white,1,
10,9,Safety,The correct colour coding for the earth wire in a flexible mains lead is:,brown,blue,yellow and green,white,2,
10,10,Safety,An isolating transformer is used to:,ensure that faulty equipment connected to it will blow a fuse in the distribution board,ensure that no voltage is developed between either output lead and ground,ensure that no voltage is developed between the output leads,step down the mains voltage to a safe value,1,
11,1,Semiconductors,The basic semiconductor amplifying device is a:,diode,transistor,pn-junction,silicon gate,1,
11,2,Semiconductors,Zener diodes are normally used as:,RF detectors,AF detectors,current regulators,voltage regulators,3,
11,3,Semiconductors,The voltage drop across a germanium signal diode when conducting is about:,0.3V,0.6V,0.7V,1.3V,0,
11,4,Semiconductors,A bipolar transistor has three terminals named:,"base, emitter and drain","collector, base and source","emitter, base and collector","drain, source and gate",2,
11,5,Semiconductors,The three leads from a PNP transistor are named the:,"collector, source, drain","gate, source, drain","drain, base, source","collector, emitter, base",3,
11,6,Semiconductors,A low-level signal is applied to a transistor circuit input and a higher-level signal is present at the output. This effect is known as:,amplification,detection,modulation,rectification,0,
11,7,Semiconductors,The type of rectifier diode in almost exclusive use in power supplies is:,lithium,germanium,silicon,copper-oxide,2,
11,8,Semiconductors,One important application for diodes is recovering information from transmitted signals. This is referred to as:,biasing,rejuvenation,ionisation,demodulation,3,
11,9,Semiconductors,"In a forward biased pn junction, the electrons:",flow from p to n,flow from n to p,remain in the n region,remain in the p region,1,
11,10,Semiconductors,The following material is considered to be a semiconductor:,copper,sulphur,silicon,tantalum,2,
11,11,Semiconductors,A varactor diode acts like a variable:,resistor,voltage regulator,capacitor,inductor,2,
11,12,Semiconductors,A semiconductor is said to be doped when small quantities of the following are added:,electrons,protons,ions,impurities,3,
11,13,Semiconductors,The connections to a semiconductor diode are known as:,cathode and drain,anode and cathode,gate and source,collector and base,1,
11,14,Semiconductors,Bipolar transistors usually have:,4 connecting leads,3 connecting leads,2 connecting leads,1 connecting lead,1,
11,15,Semiconductors,"A semiconductor is described as a ""general purpose audio NPN device"". This is a:",triode,silicon diode,bipolar transistor,field effect transistor,2,
11,16,Semiconductors,Two basic types of bipolar transistors are:,p-channel and n-channel types,NPN and PNP types,diode and triode types,varicap and zener types,1,
11,17,Semiconductors,A transistor can be destroyed in a circuit by:,excessive light,excessive heat,saturation,cut-off,1,
11,18,Semiconductors,"To bias a transistor to cut-off, the base must be:",at the collector potential,at the emitter potential,mid-way between collector and emitter potentials,mid-way between the collector and the supply potentials,1,
11,19,Semiconductors,Two basic types of field effect transistors are:,n-channel and p-channel,NPN and PNP,germanium and silicon,inductive and capacitive,0,
11,20,Semiconductors,"A semiconductor with leads labelled gate, drain and source, is best described as a:",bipolar transistor,silicon diode,gated transistor,field-effect transistor,3,
12,1,Device Recognition,"In the figure shown, 2 represents the:",collector of a pnp transistor,emitter of an npn transistor,base of an npn transistor,source of a junction FET,2,NPN.gif
12,2,Device Recognition,"In the figure shown, 3 represents the:",drain of a junction FET,collector of an npn transistor,emitter of a pnp transistor,base of an npn transistor,1,NPN.gif
12,3,Device Recognition,"In the figure shown, 2 represents the:",base of a pnp transistor,drain of a junction FET,gate of a junction FET,emitter of a pnp transistor,0,PNP.gif
12,4,Device Recognition,"In the figure shown, 1 represents the:",collector of a pnp transistor,gate of a junction FET,source of a MOSFET,emitter of a pnp transistor,3,PNP.gif
12,5,Device Recognition,"In the figure shown, 2 represents the:",drain of a p-channel junction FET,collector of an npn transistor,gate of an n-channel junction FET,base of a pnp transistor,2,JFET.gif
12,6,Device Recognition,"In the figure shown, 3 represents the:",source of an n-channel junction FET,gate of a p-channel junction FET,emitter of a pnp transistor,drain of an n-channel junction FET,3,JFET.gif
12,7,Device Recognition,"In the figure shown, 2 represents the:",gate of a MOSFET,base of a dual bipolar transistor,anode of a silicon controlled rectifier,cathode of a dual diode,0,MOSFET.gif
12,8,Device Recognition,The figure shown represents a:,dual bipolar transistor,dual diode,dual varactor diode,dual gate MOSFET,3,MOSFET.gif
12,9,Device Recognition,"In the figure shown, 3 represents the:",filament of a tetrode,anode of a triode,grid of a tetrode,screen grid of a pentode,2,TETRODE.gif
12,10,Device Recognition,"In the figure shown, 5 represents the:",grid of a tetrode,screen grid of a tetrode,heater of a pentode,grid of a triode,1,TETRODE.gif
13,1,Meters and Measuring,An ohmmeter measures the:,value of any resistance placed between its terminals,impedance of any component placed between its terminals,power factor of any inductor or capacitor placed between its terminals,voltage across any resistance placed between its terminals,0,
13,2,Meters and Measuring,"A VSWR meter switched to the ""reverse"" position provides an indication of:",power output in watts,relative reflected voltage,relative forward voltage,reflected power in dB,1,
13,3,Meters and Measuring,The correct instrument for measuring the supply current to an amplifier is a:,wattmeter,voltmeter,ammeter,ohmmeter,2,
13,4,Meters and Measuring,The following meter could be used to measure the power supply current drawn by a small hand-held transistorised receiver:,a power meter,an RF ammeter,a DC ammeter,an electrostatic voltmeter,2,
13,5,Meters and Measuring,"When measuring the current drawn by a light bulb from a DC supply, the meter will act in circuit as:",an insulator,a low value resistance,a perfect conductor,an extra current drain,1,
13,6,Meters and Measuring,"When measuring the current drawn by a receiver from a power supply, the current meter should be placed:",in parallel with both receiver power supply leads,in parallel with one of the receiver power leads,in series with both receiver power leads,in series with one of the receiver power leads,3,
13,7,Meters and Measuring,An ammeter should not be connected directly across the terminals of a 12 volt car battery because:,the resulting high current will probably destroy the ammeter,no current will flow because no other components are in the circuit,the battery voltage will be too low for a measurable current to flow,the battery voltage will be too high for a measurable current to flow,0,
13,8,Meters and Measuring,A good ammeter should have:,a very high internal resistance,a resistance equal to that of all other components in the circuit,a very low internal resistance,an infinite resistance,2,
13,9,Meters and Measuring,A good voltmeter should have:,a very high internal resistance,a resistance equal to that of all other components in the circuit,a very low internal resistance,an inductive reactance,0,
13,10,Meters and Measuring,An rms-reading voltmeter is used to measure a 50 Hz sinewave of known peak voltage 14 volt. The meter reading will be about:,14 volt,28 volt,10 volt,50 volt,2,
14,1,"Decibels, Amplification and Attenuation",The input to an amplifier is 1 volt rms and the output 10 volt rms. This is an increase of:,3 dB,6 dB,10 dB,20 dB,3,
14,2,"Decibels, Amplification and Attenuation",The input to an amplifier is 1 volt rms and output 100 volt rms. This is an increase of:,10 dB,20 dB,40 dB,100 dB,2,
14,3,"Decibels, Amplification and Attenuation",An amplifier has a gain of 40 dB. The ratio of the rms output voltage to the rms input voltage is:,20,40,100,400,2,
14,4,"Decibels, Amplification and Attenuation",A transmitter power amplifier has a gain of 20 dB. The ratio of the output power to the input power is:,10,20,40,100,3,
14,5,"Decibels, Amplification and Attenuation",An attenuator network comprises two 100 ohm resistors in series with the input applied across both resistors and the output taken from across one of them. The voltage attenuation of the network is:,3 dB,6 dB,50 dB,100 dB,1,
14,6,"Decibels, Amplification and Attenuation",An attenuator network has 10 volt rms applied to its input with 1 volt rms measured at its output. The attenuation of the network is:,6 dB,10 dB,20 dB,40 dB,2,
14,7,"Decibels, Amplification and Attenuation",An attenuator network has 10 volt rms applied to its input with 5 volt rms measured at its output. The attenuation of the network is:,6 dB,10 dB,20 dB,40 dB,0,
14,8,"Decibels, Amplification and Attenuation",Two amplifiers with gains of 10 dB and 40 dB are connected in cascade. The gain of the combination is:,8 dB,30 dB,50 dB,400 dB,2,
14,9,"Decibels, Amplification and Attenuation",An amplifier with a gain of 20 dB has a -10 dB attenuator connected in cascade. The gain of the combination is:,8 dB,10 dB,-10 dB,-200 dB,1,
14,10,"Decibels, Amplification and Attenuation",Each stage of a three-stage amplifier provides 5 dB gain. The total amplification is:,10 dB,15 dB,25 dB,125 dB,1,
15,1,HF Station Arrangement,"In the block diagram shown, the ""linear amplifier"" is:",an amplifier to remove distortion in signals from the transceiver,an optional amplifier to be switched in when higher power is required,an amplifier with all components arranged in-line,a push-pull amplifier to cancel second harmonic distortion,1,HFSTA.gif
15,2,HF Station Arrangement,"In the block diagram shown, the additional signal path above the ""linear amplifier"" block indicates that:",some power is passed around the linear amplifier for stability,"""feed-forward"" correction is being used to increase linearity",the linear amplifier input and output terminals may be short-circuited,the linear amplifier may be optionally switched out of circuit to reduce output power,3,HFSTA.gif
15,3,HF Station Arrangement,"In the block diagram shown, the ""low pass filter"" must be rated to:",carry the full power output from the station,filter out higher-frequency modulation components for maximum intelligibility,filter out high-amplitude sideband components,emphasise low-speed Morse code output,0,HFSTA.gif
15,4,HF Station Arrangement,"In the block diagram shown, the ""SWR bridge"" is a:",switched wave rectifier for monitoring power output,static wave reducer to minimize static electricity from the antenna,device to monitor the standing-wave-ratio on the antenna feedline,short wave rectifier to protect against lightning strikes,2,HFSTA.gif
15,5,HF Station Arrangement,"In the block diagram shown, the ""antenna switch"":",switches the transmitter output to the dummy load for tune-up purposes,switches the antenna from transmit to receive,switches the frequency of the antenna for operation on different bands,switches surplus output power from the antenna to the dummy load to avoid distortion.,0,HFSTA.gif
15,6,HF Station Arrangement,"In the block diagram shown, the ""antenna tuner"":",adjusts the resonant frequency of the antenna to minimize harmonic radiation,adjusts the resonant frequency of the antenna to maximise power output,changes the standing-wave-ratio on the transmission line to the antenna,adjusts the impedance of the antenna system seen at the transceiver output,3,HFSTA.gif
15,7,HF Station Arrangement,"In the block diagram shown, the ""dummy load"" is:",used to allow adjustment of the transmitter without causing interference to others,a load used to absorb surplus power which is rejected by the antenna system,used to absorb high-voltage impulses caused by lightning strikes to the antenna,an additional load used to compensate for a badly-tuned antenna system,0,HFSTA.gif
15,8,HF Station Arrangement,"In the block diagram shown, the connection between the SWR bridge and the antenna switch is normally a:",twisted pair cable,coaxial cable,quarter-wave matching section,short length of balanced ladder-line,1,HFSTA.gif
15,9,HF Station Arrangement,"In this block diagram, the block designated ""antenna tuner"" is not normally necessary when:",the antenna input impedance is 50 ohms,"a half wave antenna is used, fed at one end",the antenna is very long compared to a wavelength,the antenna is very short compared to a wavelength,0,HFSTA.gif
15,10,HF Station Arrangement,"In the block diagram shown, the connection between the ""antenna tuner"" and the ""antenna"" could be made with:",three-wire mains power cable,heavy hook-up wire,50 ohm coaxial cable,an iron-cored transformer,2,HFSTA.gif
16,1,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""RF amplifier"":",decreases random fluctuation noise,is a restoring filter amplifier,increases the incoming signal level,changes the signal frequency,2,SSBRX.gif
16,2,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""mixer"":",combines signals at two different frequencies to produce one at an intermediate frequency,combines sidebands to produce a stronger signal,discriminates against SSB and AM signals,inserts a carrier wave to produce a true FM signal,0,SSBRX.gif
16,3,Receiver Block Diagrams,"In the block diagram of the receiver shown, the output frequency of the ""oscillator"" is:",the same as that of the incoming received signal,the same as that of the IF frequency,different from both the incoming signal and IF frequencies,at a low audio frequency,2,SSBRX.gif
16,4,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""filter"" rejects:",AM and RTTY signals,unwanted mixer outputs,noise bursts,broadcast band signals,1,SSBRX.gif
16,5,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""IF amplifier"" is an:",isolation frequency amplifier,intelligence frequency amplifier,indeterminate frequency amplifier,intermediate frequency amplifier,3,SSBRX.gif
16,6,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""product detector"":",produces an 800 Hz beat note,separates CW and SSB signals,rejects AM signals,translates signals to audio frequencies,3,SSBRX.gif
16,7,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""AF amplifier"":",rejects AM and RTTY signals,amplifies audio frequency signals,has a very narrow passband,restores ambiance to the audio,1,SSBRX.gif
16,8,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""BFO"" stands for:",bad frequency obscurer,basic frequency oscillator,beat frequency oscillator,band filter oscillator,2,SSBRX.gif
16,9,Receiver Block Diagrams,"In the block diagram of the receiver shown, most of the receiver gain is in the:",RF amplifier,IF amplifier,AF amplifier,mixer,1,SSBRX.gif
16,10,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""RF amplifier"":",decreases random fluctuation noise,masks strong noise,should produce little internal noise,changes the signal frequency,2,FMRX.gif
16,11,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""mixer"":",changes the signal frequency,rejects SSB and CW signals,protects against receiver overload,limits the noise on the signal,0,FMRX.gif
16,12,Receiver Block Diagrams,"In the receiver shown, when receiving a signal, the output frequency of the ""oscillator"" is:",the same as that of the signal,the same as that of the IF amplifier,of constant amplitude and frequency,passed through the following filter,2,FMRX.gif
16,13,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""limiter"":",limits the signal to a constant amplitude,rejects SSB and CW signals,limits the frequency shift of the signal,limits the phase shift of the signal,0,FMRX.gif
16,14,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""frequency demodulator"" could be implemented with a:",product detector,phase-locked loop,full-wave rectifier,low-pass filter,1,FMRX.gif
16,15,Receiver Block Diagrams,"In the block diagram of the receiver shown, the ""AF amplifier"":",amplifies stereo signals,amplifies speech frequencies,is an all frequency amplifier,must be fitted with a tone control,1,FMRX.gif
16,16,Receiver Block Diagrams,"In this receiver, an audio frequency gain control would be associated with the block labelled:",AF amplifier,frequency demodulator,"speaker, phones",IF amplifier,0,FMRX.gif
16,17,Receiver Block Diagrams,"In the block diagram of the receiver shown, the selectivity would be set by the:",AF amplifier,mixer,limiter,filter,3,FMRX.gif
16,18,Receiver Block Diagrams,"In the FM communications receiver shown in the block diagram, the ""filter"" bandwidth is typically:",3 kHz,10 kHz,64 kHz,128 kHz,1,FMRX.gif
16,19,Receiver Block Diagrams,"In the block diagram of the receiver shown, an automatic gain control (AGC) circuit would be associated with the:",Speaker,IF amplifier,RF filter,Oscillator,1,FMRX.gif
16,20,Receiver Block Diagrams,"In the block diagram of the receiver shown, the waveform produced by the ""oscillator"" would ideally be a:",square wave,pulsed wave,sinewave,hybrid frequency wave,2,FMRX.gif
17,1,Receiver Operation,The frequency stability of a receiver is its ability to:,stay tuned to the desired signal,track the incoming signal as it drifts,provide a frequency standard,provide a digital readout,0,
17,2,Receiver Operation,The sensitivity of a receiver specifies:,the bandwidth of the RF preamplifier,the stability of the oscillator,its ability to receive weak signals,its ability to reject strong signals,2,
17,3,Receiver Operation,"Of two receivers, the one capable of receiving the weakest signal will have:",an RF gain control,the least internally-generated noise,the loudest audio output,the greatest tuning range,1,
17,4,Receiver Operation,The figure in a receiver's specifications which indicates its sensitivity is the:,bandwidth of the IF in kilohertz,audio output in watts,signal plus noise to noise ratio,number of RF amplifiers,2,
17,5,Receiver Operation,"If two receivers are compared, the more sensitive receiver will produce:",more than one signal,less signal and more noise,more signal and less noise,a steady oscillator drift,2,
17,6,Receiver Operation,The ability of a receiver to separate signals close in frequency is called its:,noise figure,sensitivity,bandwidth,selectivity,3,
17,7,Receiver Operation,A receiver with high selectivity has a:,wide bandwidth,wide tuning range,narrow bandwidth,narrow tuning range,2,
17,8,Receiver Operation,The BFO in a superhet receiver operates on a frequency nearest to that of its:,RF amplifier,audio amplifier,local oscillator,IF amplifier,3,
17,9,Receiver Operation,"To receive Morse code signals, a BFO is employed in a superhet receiver to:",produce IF signals,beat with the local oscillator signal to produce sidebands,produce an audio tone to beat with the IF signal,beat with the IF signal to produce an audio tone,3,
17,10,Receiver Operation,The following transmission mode is usually demodulated by a product detector:,pulse modulation,double sideband full carrier modulation,frequency modulation,single sideband suppressed carrier modulation,3,
17,11,Receiver Operation,A superhet receiver for SSB reception has an insertion oscillator to:,replace the suppressed carrier for detection,phase out the unwanted sideband signal,reduce the passband of the IF stages,beat with the received carrier to produce the other sideband,0,
17,12,Receiver Operation,A stage in a receiver with input and output circuits tuned to the received frequency is the:,RF amplifier,local oscillator,audio frequency amplifier,detector,0,
17,13,Receiver Operation,An RF amplifier ahead of the mixer stage in a superhet receiver:,enables the receiver to tune a greater frequency range,means no BFO stage is needed,makes it possible to receive SSB signals,increases the sensitivity of the receiver,3,
17,14,Receiver Operation,A communication receiver may have several IF filters of different bandwidths. The operator selects one to:,improve the S-meter readings,improve the receiver sensitivity,improve the reception of different types of signal,increase the noise received,2,
17,15,Receiver Operation,The stage in a superhet receiver with a tuneable input and fixed tuned output is the:,RF amplifier,mixer stage,IF amplifier,local oscillator,1,
17,16,Receiver Operation,The mixer stage of a superhet receiver:,produces spurious signals,produces an intermediate frequency signal,acts as a buffer stage,demodulates SSB signals,1,
17,17,Receiver Operation,A 7 MHz signal and a 16 MHz oscillator are applied to a mixer stage. The output will contain the input frequencies and:,8 and 9 MHz,7 and 9 MHz,9 and 23 MHz,3.5 and 9 MHz,2,
17,18,Receiver Operation,Selectivity in a superhet receiver is achieved primarily in the:,RF amplifier,Mixer,IF amplifier,Audio stage,2,
17,19,Receiver Operation,The abbreviation AGC means:,attenuating gain capacitor,automatic gain control,anode-grid capacitor,amplified grid conductance,1,
17,20,Receiver Operation,The AGC circuit in a receiver usually controls the:,audio stage,mixer stage,power supply,RF and IF stages,3,
17,21,Receiver Operation,The tuning control of a superhet receiver changes the tuned frequency of the:,audio amplifier,IF amplifier,local oscillator,post-detector amplifier,2,
17,22,Receiver Operation,"A superhet receiver, with an IF at 500 kHz, is receiving a 14 MHz signal. The local oscillator frequency is:",14.5 MHz,19 MHz,500 kHz,28 MHz,0,
17,23,Receiver Operation,An audio amplifier is necessary in an AM receiver because:,signals leaving the detector are weak,the carrier frequency must be replaced,the signal requires demodulation,RF signals are not heard by the human ear,0,
17,24,Receiver Operation,The audio output transformer in a receiver is required to:,step up the audio gain,protect the loudspeaker from high currents,improve the audio tone,match the output impedance of the audio amplifier to the speaker,3,
17,25,Receiver Operation,"If the carrier insertion oscillator is counted, then a single conversion superhet receiver has:",one oscillator,two oscillators,three oscillators,four oscillators,1,
17,26,Receiver Operation,"A superhet receiver, with a 500 kHz IF, is receiving a signal at 21.0 MHz. A strong unwanted signal at 22 MHz is interfering. The cause is:",insufficient IF selectivity,the 22 MHz signal is out-of-band,22 MHz is the image frequency,insufficient RF gain,2,
17,27,Receiver Operation,A superhet receiver receives an incoming signal of 3540 kHz and the local oscillator produces a signal of 3995 kHz. The IF amplifier is tuned to:,455 kHz,3540 kHz,3995 kHz,7435 kHz,0,
